# format_version: 1;
# system_name: Nexus;
# date_time: 2021-06-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: LIDAR_2020;
# project_version: 0;
Unix time;BlackTC_110m_HWS_hub;BluePO_110m_HWS_hub;GreenPO_110m_HWS_hub;BlackTC_110m_HWS_hub_availability;BluePO_110m_HWS_hub_availability;GreenPO_110m_HWS_hub_availability;
-;600 s;600 s;600 s;600 s;600 s;600 s;
-;;;;;;;
1623706200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623706800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623707400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623708000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623708600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623709200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623709800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623710400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623711000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623711600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623712200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623712800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623713400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623714000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623714600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623715200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623715800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623716400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623717000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623717600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623718200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623718800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623719400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623720000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623720600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623721200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623721800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623722400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623723000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623723600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623724200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623724800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623725400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623726000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623726600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623727200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623727800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623728400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623729000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623729600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623730200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623730800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623731400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623732000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623732600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623733200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623733800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623734400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623735000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623735600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623736200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623736800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623737400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623738000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623738600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623739200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623739800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623740400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623741000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623741600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623742200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623742800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623743400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623744000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623744600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623745200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623745800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623746400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623747000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623747600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623748200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623748800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623749400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623750000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623750600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623751200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623751800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623752400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623753000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623753600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623754200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623754800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623755400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623756000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623756600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623757200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623757800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623758400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623759000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623759600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623760200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623760800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623761400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623762000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623762600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623763200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623763800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623764400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623765000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623765600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623766200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623766800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623767400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623768000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623768600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623769200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623769800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623770400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623771000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623771600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623772200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
