# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: ISPIN;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;SaDataValid;WS_free_avg;DataOK;
-;600 s;600 s;600 s;
-;-;m/s;-;
1610596200.00000;1;11.04;0;
1610596800.00000;1;10.5;0;
1610597400.00000;1;10.49;0;
1610598000.00000;1;10.17;0;
1610598600.00000;1;10.45;0;
1610599200.00000;1;10.49;0;
1610599800.00000;1;9.907;0;
1610600400.00000;1;10.24;0;
1610601000.00000;1;10.25;0;
1610601600.00000;1;10.42;0;
1610602200.00000;1;9.928;0;
1610602800.00000;1;10.02;0;
1610603400.00000;1;9.709;0;
1610604000.00000;1;9.856;0;
1610604600.00000;1;9.478;0;
1610605200.00000;1;8.355;0;
1610605800.00000;1;8.775;0;
1610606400.00000;1;8.917;0;
1610607000.00000;1;8.373;0;
1610607600.00000;1;8.378;0;
1610608200.00000;1;8.114;0;
1610608800.00000;1;8.132;0;
1610609400.00000;1;7.989;0;
1610610000.00000;1;7.695;0;
1610610600.00000;1;7.389;0;
1610611200.00000;1;7.623;0;
1610611800.00000;1;8.04;0;
1610612400.00000;1;6.926;0;
1610613000.00000;1;6.35;0;
1610613600.00000;1;6.39;0;
1610614200.00000;1;7.446;0;
1610614800.00000;1;7.077;0;
1610615400.00000;1;6.847;0;
1610616000.00000;1;7.045;1;
1610616600.00000;1;7.34;0;
1610617200.00000;1;7.244;0;
1610617800.00000;1;7.149;0;
1610618400.00000;1;6.941;0;
1610619000.00000;1;7.3;0;
1610619600.00000;1;6.894;0;
1610620200.00000;1;6.443;0;
1610620800.00000;1;7.224;0;
1610621400.00000;1;7.162;0;
1610622000.00000;1;6.127;0;
1610622600.00000;1;6.116;0;
1610623200.00000;1;6.004;0;
1610623800.00000;1;5.529;0;
1610624400.00000;1;4.812;0;
1610625000.00000;1;5.835;0;
1610625600.00000;1;5.864;0;
1610626200.00000;1;6.431;0;
1610626800.00000;1;7.59;0;
1610627400.00000;1;6.676;0;
1610628000.00000;1;5.412;0;
1610628600.00000;1;5.161;0;
1610629200.00000;1;5.15;0;
1610629800.00000;1;5.96;0;
1610630400.00000;1;4.803;0;
1610631000.00000;1;5.059;0;
1610631600.00000;1;5.457;0;
1610632200.00000;1;5.481;0;
1610632800.00000;1;5.872;0;
1610633400.00000;1;5.214;0;
1610634000.00000;1;4.322;0;
1610634600.00000;1;3.576;0;
1610635200.00000;1;3.908;0;
1610635800.00000;1;4.612;0;
1610636400.00000;1;4.282;0;
1610637000.00000;1;5.019;0;
1610637600.00000;1;4.941;0;
1610638200.00000;1;5.411;0;
1610638800.00000;1;5.816;0;
1610639400.00000;1;5.56;0;
1610640000.00000;1;6.648;0;
1610640600.00000;1;6.286;0;
1610641200.00000;1;6.171;0;
1610641800.00000;1;6.976;0;
1610642400.00000;1;6.659;0;
1610643000.00000;1;5.975;0;
1610643600.00000;1;4.928;0;
1610644200.00000;1;5.142;0;
1610644800.00000;1;4.633;0;
1610645400.00000;1;4.554;0;
1610646000.00000;1;5.176;0;
1610646600.00000;1;4.877;0;
1610647200.00000;1;4.91;0;
1610647800.00000;1;4.773;0;
1610648400.00000;1;5.236;0;
1610649000.00000;1;5.252;0;
1610649600.00000;1;4.689;0;
1610650200.00000;1;6.098;0;
1610650800.00000;1;5.446;0;
1610651400.00000;1;5.551;0;
1610652000.00000;1;5.441;0;
